 (1, 0, 0, 0, 0, 0, 0), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6) 
 (1/2, 1/4, 3/8, 1/8, -1/8, 0, -1/8), (1/4, 7/40, 17/80, 11/80, 1/16, 1/10, 1/16), (3/8, 17/80, 47/160, 21/160, -1/32, 1/20, -1/32), (1/8, 11/80, 21/160, 23/160, 5/32, 3/20, 5/32), (-1/8, 1/16, -1/32, 5/32, 11/32, 1/4, 11/32), (0, 1/10, 1/20, 3/20, 1/4, 1/5, 1/4), (-1/8, 1/16, -1/32, 5/32, 11/32, 1/4, 11/32) 
 (1/2, 1/5, 2/5, 1/10, 0, 0, -1/5), (1/5, 19/125, 23/125, 17/125, 3/25, 3/25, 11/125), (2/5, 23/125, 41/125, 14/125, 1/25, 1/25, -13/125), (1/10, 17/125, 14/125, 37/250, 4/25, 4/25, 23/125), (0, 3/25, 1/25, 4/25, 1/5, 1/5, 7/25), (0, 3/25, 1/25, 4/25, 1/5, 1/5, 7/25), (-1/5, 11/125, -13/125, 23/125, 7/25, 7/25, 59/125) 
 (1/2, 1/8, 1/4, -1/8, 3/8, 0, -1/8), (1/8, 23/160, 11/80, 5/32, 21/160, 3/20, 5/32), (1/4, 11/80, 7/40, 1/16, 17/80, 1/10, 1/16), (-1/8, 5/32, 1/16, 11/32, -1/32, 1/4, 11/32), (3/8, 21/160, 17/80, -1/32, 47/160, 1/20, -1/32), (0, 3/20, 1/10, 1/4, 1/20, 1/5, 1/4), (-1/8, 5/32, 1/16, 11/32, -1/32, 1/4, 11/32) 
 (1/2, 1/8, 1/4, 3/8, -1/8, 0, -1/8), (1/8, 23/160, 11/80, 21/160, 5/32, 3/20, 5/32), (1/4, 11/80, 7/40, 17/80, 1/16, 1/10, 1/16), (3/8, 21/160, 17/80, 47/160, -1/32, 1/20, -1/32), (-1/8, 5/32, 1/16, -1/32, 11/32, 1/4, 11/32), (0, 3/20, 1/10, 1/20, 1/4, 1/5, 1/4), (-1/8, 5/32, 1/16, -1/32, 11/32, 1/4, 11/32) 
 (1/2, 1/8, 3/8, 1/4, -1/8, 0, -1/8), (1/8, 23/160, 21/160, 11/80, 5/32, 3/20, 5/32), (3/8, 21/160, 47/160, 17/80, -1/32, 1/20, -1/32), (1/4, 11/80, 17/80, 7/40, 1/16, 1/10, 1/16), (-1/8, 5/32, -1/32, 1/16, 11/32, 1/4, 11/32), (0, 3/20, 1/20, 1/10, 1/4, 1/5, 1/4), (-1/8, 5/32, -1/32, 1/16, 11/32, 1/4, 11/32) 
 (1/2, 2/5, 0, 1/5, 1/10, -1/5, 0), (2/5, 41/125, 1/25, 23/125, 14/125, -13/125, 1/25), (0, 1/25, 1/5, 3/25, 4/25, 7/25, 1/5), (1/5, 23/125, 3/25, 19/125, 17/125, 11/125, 3/25), (1/10, 14/125, 4/25, 17/125, 37/250, 23/125, 4/25), (-1/5, -13/125, 7/25, 11/125, 23/125, 59/125, 7/25), (0, 1/25, 1/5, 3/25, 4/25, 7/25, 1/5) 
 (1/2, 2/5, 1/5, 0, 0, 1/10, -1/5), (2/5, 41/125, 23/125, 1/25, 1/25, 14/125, -13/125), (1/5, 23/125, 19/125, 3/25, 3/25, 17/125, 11/125), (0, 1/25, 3/25, 1/5, 1/5, 4/25, 7/25), (0, 1/25, 3/25, 1/5, 1/5, 4/25, 7/25), (1/10, 14/125, 17/125, 4/25, 4/25, 37/250, 23/125), (-1/5, -13/125, 11/125, 7/25, 7/25, 23/125, 59/125) 
 (1/2, 2/5, 1/5, 0, 1/10, 0, -1/5), (2/5, 41/125, 23/125, 1/25, 14/125, 1/25, -13/125), (1/5, 23/125, 19/125, 3/25, 17/125, 3/25, 11/125), (0, 1/25, 3/25, 1/5, 4/25, 1/5, 7/25), (1/10, 14/125, 17/125, 4/25, 37/250, 4/25, 23/125), (0, 1/25, 3/25, 1/5, 4/25, 1/5, 7/25), (-1/5, -13/125, 11/125, 7/25, 23/125, 7/25, 59/125) 
 (1/2, 2/5, 1/5, 1/10, 0, 0, -1/5), (2/5, 41/125, 23/125, 14/125, 1/25, 1/25, -13/125), (1/5, 23/125, 19/125, 17/125, 3/25, 3/25, 11/125), (1/10, 14/125, 17/125, 37/250, 4/25, 4/25, 23/125), (0, 1/25, 3/25, 4/25, 1/5, 1/5, 7/25), (0, 1/25, 3/25, 4/25, 1/5, 1/5, 7/25), (-1/5, -13/125, 11/125, 23/125, 7/25, 7/25, 59/125) 
 (1/2, 3/8, 0, 1/4, -1/8, 1/8, -1/8), (3/8, 47/160, 1/20, 17/80, -1/32, 21/160, -1/32), (0, 1/20, 1/5, 1/10, 1/4, 3/20, 1/4), (1/4, 17/80, 1/10, 7/40, 1/16, 11/80, 1/16), (-1/8, -1/32, 1/4, 1/16, 11/32, 5/32, 11/32), (1/8, 21/160, 3/20, 11/80, 5/32, 23/160, 5/32), (-1/8, -1/32, 1/4, 1/16, 11/32, 5/32, 11/32) 
 (1/2, 3/8, 0, 1/4, 1/8, -1/8, -1/8), (3/8, 47/160, 1/20, 17/80, 21/160, -1/32, -1/32), (0, 1/20, 1/5, 1/10, 3/20, 1/4, 1/4), (1/4, 17/80, 1/10, 7/40, 11/80, 1/16, 1/16), (1/8, 21/160, 3/20, 11/80, 23/160, 5/32, 5/32), (-1/8, -1/32, 1/4, 1/16, 5/32, 11/32, 11/32), (-1/8, -1/32, 1/4, 1/16, 5/32, 11/32, 11/32) 
 (1/2, 3/8, 0, -1/8, 1/4, 1/8, -1/8), (3/8, 47/160, 1/20, -1/32, 17/80, 21/160, -1/32), (0, 1/20, 1/5, 1/4, 1/10, 3/20, 1/4), (-1/8, -1/32, 1/4, 11/32, 1/16, 5/32, 11/32), (1/4, 17/80, 1/10, 1/16, 7/40, 11/80, 1/16), (1/8, 21/160, 3/20, 5/32, 11/80, 23/160, 5/32), (-1/8, -1/32, 1/4, 11/32, 1/16, 5/32, 11/32) 
 (1/2, 3/8, 1/4, 0, -1/8, 1/8, -1/8), (3/8, 47/160, 17/80, 1/20, -1/32, 21/160, -1/32), (1/4, 17/80, 7/40, 1/10, 1/16, 11/80, 1/16), (0, 1/20, 1/10, 1/5, 1/4, 3/20, 1/4), (-1/8, -1/32, 1/16, 1/4, 11/32, 5/32, 11/32), (1/8, 21/160, 11/80, 3/20, 5/32, 23/160, 5/32), (-1/8, -1/32, 1/16, 1/4, 11/32, 5/32, 11/32) 
 (1/2, 3/8, 1/4, 0, 1/8, -1/8, -1/8), (3/8, 47/160, 17/80, 1/20, 21/160, -1/32, -1/32), (1/4, 17/80, 7/40, 1/10, 11/80, 1/16, 1/16), (0, 1/20, 1/10, 1/5, 3/20, 1/4, 1/4), (1/8, 21/160, 11/80, 3/20, 23/160, 5/32, 5/32), (-1/8, -1/32, 1/16, 1/4, 5/32, 11/32, 11/32), (-1/8, -1/32, 1/16, 1/4, 5/32, 11/32, 11/32) 
 (1/2, 3/8, 1/4, 1/8, 0, -1/8, -1/8), (3/8, 47/160, 17/80, 21/160, 1/20, -1/32, -1/32), (1/4, 17/80, 7/40, 11/80, 1/10, 1/16, 1/16), (1/8, 21/160, 11/80, 23/160, 3/20, 5/32, 5/32), (0, 1/20, 1/10, 3/20, 1/5, 1/4, 1/4), (-1/8, -1/32, 1/16, 5/32, 1/4, 11/32, 11/32), (-1/8, -1/32, 1/16, 5/32, 1/4, 11/32, 11/32) 
 (1/2, 3/8, 1/4, 1/8, -1/8, 0, -1/8), (3/8, 47/160, 17/80, 21/160, -1/32, 1/20, -1/32), (1/4, 17/80, 7/40, 11/80, 1/16, 1/10, 1/16), (1/8, 21/160, 11/80, 23/160, 5/32, 3/20, 5/32), (-1/8, -1/32, 1/16, 5/32, 11/32, 1/4, 11/32), (0, 1/20, 1/10, 3/20, 1/4, 1/5, 1/4), (-1/8, -1/32, 1/16, 5/32, 11/32, 1/4, 11/32) 
 (1/2, 3/8, 1/4, 1/8, -1/8, -1/8, 0), (3/8, 47/160, 17/80, 21/160, -1/32, -1/32, 1/20), (1/4, 17/80, 7/40, 11/80, 1/16, 1/16, 1/10), (1/8, 21/160, 11/80, 23/160, 5/32, 5/32, 3/20), (-1/8, -1/32, 1/16, 5/32, 11/32, 11/32, 1/4), (-1/8, -1/32, 1/16, 5/32, 11/32, 11/32, 1/4), (0, 1/20, 1/10, 3/20, 1/4, 1/4, 1/5) 
 (1/2, 3/8, 1/8, 1/4, -1/8, 0, -1/8), (3/8, 47/160, 21/160, 17/80, -1/32, 1/20, -1/32), (1/8, 21/160, 23/160, 11/80, 5/32, 3/20, 5/32), (1/4, 17/80, 11/80, 7/40, 1/16, 1/10, 1/16), (-1/8, -1/32, 5/32, 1/16, 11/32, 1/4, 11/32), (0, 1/20, 3/20, 1/10, 1/4, 1/5, 1/4), (-1/8, -1/32, 5/32, 1/16, 11/32, 1/4, 11/32) 
 (1/2, 3/8, 1/8, 1/4, -1/8, -1/8, 0), (3/8, 47/160, 21/160, 17/80, -1/32, -1/32, 1/20), (1/8, 21/160, 23/160, 11/80, 5/32, 5/32, 3/20), (1/4, 17/80, 11/80, 7/40, 1/16, 1/16, 1/10), (-1/8, -1/32, 5/32, 1/16, 11/32, 11/32, 1/4), (-1/8, -1/32, 5/32, 1/16, 11/32, 11/32, 1/4), (0, 1/20, 3/20, 1/10, 1/4, 1/4, 1/5) 
 (1/2, 3/8, 1/8, -1/8, 1/4, -1/8, 0), (3/8, 47/160, 21/160, -1/32, 17/80, -1/32, 1/20), (1/8, 21/160, 23/160, 5/32, 11/80, 5/32, 3/20), (-1/8, -1/32, 5/32, 11/32, 1/16, 11/32, 1/4), (1/4, 17/80, 11/80, 1/16, 7/40, 1/16, 1/10), (-1/8, -1/32, 5/32, 11/32, 1/16, 11/32, 1/4), (0, 1/20, 3/20, 1/4, 1/10, 1/4, 1/5) 
 (1/3, 0, 0, 0, 1/3, 0, 1/3), (0, 1/4, 1/4, 1/4, 0, 1/4, 0), (0, 1/4, 1/4, 1/4, 0, 1/4, 0), (0, 1/4, 1/4, 1/4, 0, 1/4, 0), (1/3, 0, 0, 0, 1/3, 0, 1/3), (0, 1/4, 1/4, 1/4, 0, 1/4, 0), (1/3, 0, 0, 0, 1/3, 0, 1/3) 
